ID Planinfra,Ano de entrada,Registro do ID,Data da ação,Status,AUTORIZAÇÃO,Cidade,Estado,PRIORIDADE EMAER,COMAR,ODS,OM,DESCRIÇÃO,Solicitante,Documento de Solicitação,DOCUMENTO do Caderno de Necessidades,Data do Carderno de Necessidades,VALOR ESTIMATIVA (R$),RESPONSAVEL PROJETO,INÍCIO DO PROJETO/TAP,PRAZO DE PROJETO,PROJETO,VALOR PROJETO  (R$),DOCUMENTO ENTREGA do Projeto,Data de entrega do Projeto,DOCUMENTO CANCELAMENTO,DOCUMENTO SUSPENSÃO,RESPONSÁVEL LICITAÇÃO,Origem do Crédito,DATA DA LICITAÇÃO,Valor Obra (R$),Apostilamentos/Reajustes,1o Valor Aditivo (R$),2o Valor Aditivo (R$),3o Valor Aditivo (R$),4o Valor Aditivo (R$),5o Valor Aditivo (R$),Valor Vigente (R$),RESPONSÁVEL FISCALIZAÇÃO,INÍCIO DA OBRA,PRAZO ORIGINAL DA OBRA,1o ADITIVO DE PRAZO (DIAS),2o ADITIVO DE PRAZO (DIAS),3o ADITIVO DE PRAZO (DIAS),4o ADITIVO DE PRAZO (DIAS),5o ADITIVO DE PRAZO (DIAS),Valor Total Medido,PRAZO DA OBRA,EXECUÇÃO,OBS,PUBLICAR,Data que saiu do PlanINFRA,Setor Responsável,Telefone,RESPONSÁVEL ETPE,DOCUMENTO do ETPE,Data do ETPE,GERENTE DO PROJETO,TELEFONE DO GERENTE,DOCUMENTO de envio do TAP para o cliente,DATA de envio do TAP para o cliente,DOCUMENTO de recebimento do TAP assinado pelo cliente,VALOR ESTIMATIVA TAP (R$),LINK DO GPAER,DOCUMENTO de envio do TMP para o cliente,DATA de envio do TMP para o cliente,DOCUMENTO de recebimento do TMP assinado pelo cliente,DATA de recebimento do TMP assinado pelo cliente,ACRÉSCIMO VALOR TMP,ACRÉSCIMO PRAZO TMP,ESTIMATIVA PROJETO VIGENTE,PRAZO PROJETO VIGENTE,DOCUMENTO de assinatura do TEP pelo cliente,DATA de assinatura do TEP pelo cliente,REGISTRO SISOP,USUÁRIO ÚLTIMO AÇÃO,DOCUMENTO AUTORIZAÇÃO PARA LICITAR,DATA AUTORIZAÇÃO PARA LICITAR,DATA ENVIO DA DNR À UG EXEC,DATA ENVIO À CJU,DATA RETORNO DA CJU,DATA PUBLICAÇÃO EDITAL,DATA ENTREGA PROPOSTAS,VALOR ADJUDICADO,CÓDIGO PTA,INÍCIO PTA,TÉRMINO PTA,TIPO LICITACAO,NUMERO LICITACAO
2018-1011,2018,1011,06/05/2022 10:31:40,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,ALA 2,Construção de Vestiários para as Unidades Aéreas,EMAER,,,,,CEPE,,7/30/2018,100,"R$ 3.086.616,68",,8/1/2018,,,GAP-AN,FAB,9/9/2019,"R$ 2.466.544,40",,"-R$ 57.277,44",,,,,"R$ 2.409.266,96",GAC INFRA-AN,9/9/2019,5/6/2020,150,,,,,,10/3/2020,100,"VALOR EMPENHADO =R$ 2.466.544,40
 (OBRA)
 - Prazo inicial de execução: 06/05/2020
 - Valor licitado (inicial): R$ 2.466.544,40
 - TA de prazo (90 dias) e supressão de valor (R$ 57.277,44).
 - TA de prazo (60 dias).
 - A contratada comunicou a finalização da obra em 24/11/20. TERP assinado.
 - A contratada não cumpriu o prazo de execução e irá receber sanção contratual;
 - Contrato suspenso, para retificações pendentes da obra. PAAI em andamento.
 - TERD assinado em 18/03/21.
- 3º TA de valor (R$ 13.833,72) e prazo (180 dias).
- 1º Reajuste financeiro no valor de R$ 955.592,39  em andamento.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1012,2018,1012,21/03/2024 08:35:50,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,BAAN,"Reforma do Hangar do ESM H-001 para o F-39 Grippen (GLOG-AN), incluindo as oficinas adjacentes (F-39 e KC-390) e setores de manutenção e material bélico - COMPREP-2020-2-GO-ED",,,,,,SERINFRA-BR,,8/12/2019,100,,,,,,GAP-AN,FAB 219D,1/13/2020,"R$ 37.198.356,15","R$ 2.995.679,07","R$ 420.970,76","R$ 240.192,88","R$ 2.898.077,60","R$ 324.620,67","R$ 7.255.621,04","R$ 37.198.356,15",GAC INFRA-AN,1/13/2020,11/13/2020,120,150,210,219,60,,12/12/2022,100,TERD emitido em 17/05/2023.,SIM,,,,,,,,,,,,,,,,,,,,,12/08/2019,Não localizado,01/01/1900,COMPREP-2020-2-GO-ED,,,,,,,,,,,,,,
2018-1013,2018,1013,,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,ALA 2,Projeto de Modernização/Ampliação do Sistema de Distribuição de Água da ALA 2,,,,,,SERINFRA-BR,,12/21/2018,100,,,,,,GAP-AN,FAB,3/30/2020,"R$ 909.206,09",,"-R$ 90.133,05",,,,,"819.073,04",GAC INFRA-AN,3/30/2020,9/12/2020,95,,,,,,12/16/2020,100,"VALOR EMPENHADO = R$ 909.206,09
 (OBRA)
 - Prazo inicial de execução: 12/09/2020
 - Valor licitado (inicial): R$ 909.206,09 
 - TA de prazo (40 dias) e valor (+12.909,6 /- 62.943,19).
 - TA de prazo (55 dias).
 - TA de supressão em andamento.
 - TERP assinado em 19/12/20.
- TA de prazo (45 dias), supressão de valor (R$ 49.942,83) e acréscimo (R$ 9.843,37) assinado em 14/04/21.
 - Em fase de recebimento definitivo.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1014,2018,1014,24/03/2025 15:29:10,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,BAAN,Modernização e Ampliação do Sistema de Captação e Tratamento de Água da BAAN - COMGAP-2023-1-GO-RE,,,,,"R$ 3.110.154,39",SERINFRA-BR,,5/9/2022,100,"R$ 5.017.767,83",Ofício 324/DTINFRA-BR/7200,,,,GAP-AN,FAB 20XV,,"R$ 5.073.836,54",,,,,,,"R$ 5.073.836,54",GAC INFRA-AN,2/1/2023,1/27/2024,,,,,,,1/27/2024,100,"1) Projeto iniciado antes da orientação da DIRINFRA quanto à necessidade de elaboração de TAP.
2) RT: 004/GACINFRA-AN/2022 utilizado como originador da necessidade de revisão. 
3) Projeto entregue no dia 27.05.2022
4) Projeto revisado e entregue no dia 03.08.2022
5) Na revisão foi alterado o valor da vazão de 30 para 50m³/h, além da instalação de hidrômetro visando identificar pontos de vazamento nas edificações/instalações não contempladas neste projeto.",SIM,,DTEN-BR,(61) 3364-8194,,,,,,,,,,,,,,,,,,09/05/2022,Não há,01/01/1900,COMGAP-2023-1-GO-RE,ece.dirinfra,,,,,,,,,,,,,
2018-1015,2018,1015,08/05/2023 09:35:30,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,BAAN,Adequação do Prédio para instalação do Simulador e Reforma do Prédio do GDA e infraestrutura de TI -  COMPREP-2020-1-GO-ED,,,,,,SERINFRA-BR,,11/19/2018,100,,,,,,GAP-AN,FAB,1/6/2020,"R$ 12.780.117,44","R$ 1,00","R$ 644.960,10","R$ 280.497,86","-R$ 170.898,96","-R$ 41.524,31","-R$ 326.024,14","R$ 13.167.128,99",GAC INFRA-AN,1/6/2020,9/27/2022,120,110,150,150,90,,6/8/2024,100,"1° Aditivo de sub-rogação do OD, do CMT da Ala2 para o Chefe do GAC. 

2° Aditivo: acréscimo de +120 dias prazo, vigência e acréscimo de valor R$ 644.960,10. 

3° Termo aditivo de +110 dias de prazo de vigência e execução e aditivo de acréscimo no valor de R$ 280.497,86. 

4° Termo aditivo de acréscimo de +150 dias de prazo de vigência e execução, acréscimo de R$ 1.381.508,07 e supressão de R$ 1.890.849,13. 1º Reajuste Contratual de R$ 338.442,10 apostilado.

5° Termo aditivo de acréscimo de +150 dias de prazo de vigência e execução, acréscimo de R$ 401.169,41 e supressão de R$ 442.693,72. 

6º Termo aditivo de acréscimo de +90 dias de prazo de vigência e execução, acréscimo de R$ 25.981,52 e supressão de R$ 352.005,66. ",SIM,,Seção de Controle de Obras,(62) 3329-7978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1016,2018,1016,,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,ALA 2,Restauração dos 02 Hangaretes existentes do Alerta para o F-39 e implantação dos sistemas de drenagem e aterramento,,,,,,SERINFRA-BR,,10/31/2018,100,,,,,,GAP-AN,FAB,1/27/2020,"R$ 709.529,00",,"R$ 49.434,01",,,,,"758.963,01",GAC INFRA-AN,1/27/2020,5/26/2020,,,,,,,5/26/2020,100,"VALOR EMPENHADO = R$ 773.014,06
 (OBRA) 
 - Prazo inicial de execução: 26/05/2020
 - Valor licitado (inicial): R$ =709.529,00
 - TA de prazo (175 dias) e valor (R$ 49.434,01).
 - TERD assinado dia 18/02/2021.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1017,2018,1017,05/05/2022 09:05:30,PRC,Encerrado,NATAL,RN,,II COMAR,SEFA,PANT,Construção de 2 blocos PNR Oficiais na ALA 10 (6 andares/4 ap por andar/108 m2 - 48 PNR),EMAER,,,,,CEPE,,1/25/2018,100,"R$ 42.488.399,00",202/DT/356,6/30/2020,,,,,,,,,,,,,"R$ 18.374.990,59",,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1018,2018,1018,18/05/2023 11:38:40,OBC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BASC,"Recuperação dos Pavimentos da Pista, Taxiways e Pátio (incluindo Pista de treinamento de Helicópteros/Infra da Barreira/Infra da Sinalização Luminosa), bem como Sistema de Alimentação Elétrica da Barreira de Aeronaves - MATERIAL - COMGAR-2018-1-RJ-IN",EMAER,,,,,CEPE,,8/9/2018,100,,,,,,GAP-GL,FAB,5/14/2018,"R$ 12.927.399,02",,,,,,,"R$ 12.927.399,02",,6/14/2018,3/10/2019,120,91,,,,,10/6/2019,100,TERD: 06/07/2020,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1019,2018,1019,06/05/2022 10:37:16,OBC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,ALA 12,"Recuperação dos Pavimentos da Pista, Taxiways e Pátio (incluindo Pista de treinamento de Helicópteros/Infra da Barreira/Infra da Sinalização Luminosa), bem como Sistema de Alimentação Elétrica da Barreira de Aeronaves - SERVICO",EMAER,,,,,CEPE,,,100,,,,,,GAP-GL,FAB,5/14/2018,"R$ 12.927.399,02",,,,,,,"R$ 12.927.399,02",,5/14/2018,10/31/2019,,,,,,,10/31/2019,100,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1020,2018,1020,06/05/2022 10:37:16,OBC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,ALA 12,Adaptação das Instalações do Zeppelin para 1°/7° Gav / P3 e Área de lavagem para o P3,EMAER,,,,,CEPE,,7/26/2018,100,"R$ 3.818.154,23",,7/27/2018,,,GAP-SC,FAB,5/15/2019,"R$ 3.529.883,56",,,,,,,"R$ 3.529.883,56",SERINFRA-RJ,5/15/2019,6/20/2020,240,,,,,,2/15/2021,100,"CRÉDITO DESCENTRALIZADO = R$ 2.211.729,56
 (OBRA)
 - 1º TA de prazo de execução (120 dias) e prazo de vigência (60 dias).
 - 2º TA de prazo de execução (120 dias) e prazo de vigência (120 dias).
- TERD emitido em 11/03/21.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1021,2018,1021,,PCN,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BASC,Área de lavagem para o P3,,,,,,,,,,,,,,,,FAB,,,,,,,,,,,,,,,,,,,,,"16/08/23 - Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1022,2018,1022,05/05/2022 09:05:30,PRC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,SEFA,PASC,Construção de 48 PNR Graduados (1 bloco x 6 andares x 8 apt / andar - 91 m2),EMAER,,,,,CEPE,,10/30/2019,100,"R$ 18.814.958,78",88/INS/2470,11/20/2019,,,,,,,,,,,,,"R$ 19.613.479,64",,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1023,2018,1023,05/05/2022 09:05:30,PRC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,SEFA,PASC,Construção de 24 PNR Oficiais (1 bloco x 6 andares X 4 apt / andar - 108 m2),EMAER,,,,,CEPE,,2/17/2020,100,"R$ 11.867.533,63",16/DT/23,1/22/2020,,,,,,,,,,,,,"R$ 11.867.533,63",,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1024,2018,1024,08/05/2023 09:38:56,OCN,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BASC,Construção de 01 Paiol para HARPOON - Baseado no survey da US NAVY/DIRMAB -  COMPREP-2019-2-RJ-ED,EMAER,R-12/4EM/7908 de 07 nov 2016,,,,CEPE,,12/21/2018,100,"R$ 5.933.987,06",,12/6/2018,,,GAP-SC,FAB 219D,12/2/2019,"R$ 5.781.520,08",,,,,,,"R$ 5.781.520,08",SERINFRA-RJ,12/2/2019,6/1/2022,,,,,,,11/30/2021,5,,SIM,,DTEN,21 2126-9236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1025,2018,1025,08/05/2023 09:44:12,OBC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BASC,Reforma da Subestação Principal - SEFA-2020-1-RJ-RE,EMAER,Fax nº 68/4SC2/21951,,,,CEPE,,2/15/2019,100,"R$ 231.285,69",,11/12/2019,,,GAP-SC,FAB,12/1/2020,"R$ 171.480,32",,,,,,,"R$ 171.480,32",SERINFRA-RJ,12/1/2020,6/29/2021,,,,,,,6/29/2021,100,,SIM,,SPAR,21 ) 3078-0632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
